id,title,course_id,created_at
568bf7d6ec4a89a0b3000032,Critério acerca del Curso,course-v1:UTPL+EDA+2015,
568bf8c4ec4a891e53000033,Principios Fundamentales_Módulo 2,course-v1:UTPL+EDA+2015,
568bfb38ec4a891e53000035,Tipo de Gráficas,course-v1:UTPL+EDA+2015,
568c01b3ec4a89c4b0000031,Instalación,course-v1:UTPL+EDA+2015,
568c2171ec4a8987d900003f,Presentación del Curso,course-v1:UTPL+EDA+2015,
568c72f3ec4a8987d9000042,Presentación Curso,course-v1:UTPL+EDA+2015,
568c953aec4a89c4b0000037,Criterio Respecto al Modulo 1,course-v1:UTPL+EDA+2015,
568d3892ec4a8987d9000044,Swirl,course-v1:UTPL+EDA+2015,
568d554eec4a89a0b3000035,CRITERIO,course-v1:UTPL+EDA+2015,
568d8c2dec4a891e5300003e,Principios fundamentales,course-v1:UTPL+EDA+2015,
568d9003ec4a8987d9000046,Galeria,course-v1:UTPL+EDA+2015,
568e8fa8ec4a89a0b3000038,Foro modulo 1,course-v1:UTPL+EDA+2015,
568e9467ec4a89c4b000003e,"Criterio, Modulo 1",course-v1:UTPL+EDA+2015,
568ea390ec4a89a0b300003b,Principios fundamentales,course-v1:UTPL+EDA+2015,
568f1edfec4a8987d9000048,Modulo 1,course-v1:UTPL+EDA+2015,
568f389dec4a89c4b0000041,Galería ,course-v1:UTPL+EDA+2015,
568f411eec4a8987d900004b,CRITERIO DEL MODULO 1,course-v1:UTPL+EDA+2015,
568f4d3aec4a89c4b0000044,modulo uno,course-v1:UTPL+EDA+2015,
568f5263ec4a8987d900004c,modulo 2,course-v1:UTPL+EDA+2015,
568f5273ec4a89a0b300003e,Guía de pasos para el análisis exploratorio de datos ,course-v1:UTPL+EDA+2015,
568f64d7ec4a89c4b0000045,modulo 3,course-v1:UTPL+EDA+2015,
568f665bec4a891e53000042,principios fundamentales,course-v1:UTPL+EDA+2015,
568fc0c4ec4a89c4b0000047,Flores,course-v1:UTPL+TC+2015,
