model,sent_f1_weighted,sent_f1_macro,aspect_acc,avg_confidence,latency_s,cost_usd,json_errors
baseline_majority_class,0.4552,0.2511,0.3514,1.0,0.0,0.0,0.0
baseline_cosine_only,0.4377,0.3756,0.4129,0.4065,0.0,0.0,0.0
baseline_no_guides,0.8278,0.7626,0.5856,0.8416,1.587,0.071825,0.0
gpt-4o-mini,0.8955,0.8613,0.7614,0.8725,1.5797,0.077364,0.0
gpt-4o,0.9141,0.8982,0.7881,0.8613,1.2409,1.300807,0.0
gemini-2.5-flash,0.875,0.875,0.0251,0.9333,0.1197,0.001847,0.0063
